State,Households,Households with computer,Percent,Number of Households with Internet,Percent
Alabama,1852500,1554400,84,1394700,75
Alaska,248500,234600,94,215400,87
Arizona,2519100,2293500,91,2111100,84
Arkansas,1142700,965400,85,812900,71
California,12944200,11924200,92,11081000,86
Colorado,2109000,1970700,93,1835100,87
Connecticut,1357300,1214300,90,1149300,85
Delaware,351100,319800,91,294400,84
District of Columbia,281200,253600,90,223400,79
Florida,7573500,6827300,90,6173200,82
Georgia,3686100,3297100,89,2990000,81
Hawaii,455900,416100,91,382100,84
Idaho,610900,544300,89,485300,79
Illinois,4822000,4293700,89,3969400,82
Indiana,2533300,2224700,88,2023600,80
Iowa,1247900,1096900,88,1010200,81
Kansas,1110400,983300,89,897300,81
Kentucky,1717700,1458200,85,1337100,78
Louisiana,1720800,1453800,85,1282700,75
Maine,531700,473500,89,432300,81
Maryland,2194700,2011700,92,1883300,86
Massachusetts,2579500,2335700,91,2207300,86
Michigan,3884200,3430300,88,3147200,81
Minnesota,2148700,1941100,90,1814100,84
Mississippi,1091300,897400,82,778900,71
Missouri,2372200,2094300,88,1896100,80
Montana,416100,365400,88,331500,80
Nebraska,747600,656400,88,614400,82
Nevada,1055200,962100,91,857800,81
New Hampshire,520600,478500,92,452500,87
New Jersey,3194500,2893800,91,2702500,85
New Mexico,758400,643200,85,566600,75
New York,7209000,6387500,89,5906900,82
North Carolina,3882400,3418000,88,3086700,80
North Dakota,315100,282200,90,256900,82
Ohio,4624700,4065000,88,3763400,81
Oklahoma,1469300,1281200,87,1145600,78
Oregon,1571700,1439900,92,1338800,85
Pennsylvania,4937800,4286800,87,3997000,81
Rhode Island,408200,359500,88,338500,83
South Carolina,1877900,1631800,87,1451100,77
South Dakota,334000,293400,88,266800,80
Tennessee,2556300,2187100,86,1969700,77
Texas,9535600,8580700,90,7719500,81
Utah,943100,888500,94,811700,86
Vermont,254800,226400,89,208800,82
Virginia,3120700,2829700,91,2623900,84
Washington,2768100,2573400,93,2430700,88
West Virginia,722100,597400,83,540400,75
Wisconsin,2327000,2066200,89,1907600,82
Wyoming,223600,202100,90,187000,84
