"Overall Rank
(1=Greenest)",State,Total Score,‘Environmental Quality’ Rank,‘Eco-Friendly Behaviors’ Rank,‘Climate-Change Contributions’ Rank
1,Vermont,76.35,1,3,25
2,New York,75.49,3,8,3
3,Oregon,75.24,4,1,21
4,Connecticut,73.89,7,9,1
5,Minnesota,73.13,2,4,19
6,Massachusetts,72.53,5,17,2
7,California,69.4,43,2,4
8,Rhode Island,69,10,22,7
9,South Dakota,68.45,6,24,10
10,New Hampshire,67.79,9,29,5
11,Wisconsin,67.79,8,14,14
12,Maine,66.73,14,6,17
13,Maryland,66.6,37,5,8
14,Washington,65.77,15,7,18
15,Nevada,65.63,31,15,6
16,New Jersey,65.25,33,11,9
17,Michigan,63.65,11,25,20
18,Delaware,63.19,22,16,15
19,Hawaii,62.4,27,13,12
20,North Carolina,60.32,19,19,22
21,Colorado,59.57,26,10,31
22,Illinois,59.51,13,23,29
23,Idaho,58.48,29,37,11
24,Pennsylvania,58.08,18,12,35
25,Missouri,57.94,12,31,28
26,South Carolina,57.39,30,35,13
27,Virginia,55.22,39,26,24
28,Tennessee,54.71,23,43,16
29,Arizona,54.33,41,27,23
30,Georgia,53.89,20,41,26
31,Utah,53.27,34,30,33
32,Iowa,52.88,17,20,42
33,Montana,52.44,47,18,30
34,New Mexico,51.18,40,21,36
35,Ohio,50.87,44,33,27
36,Nebraska,50.53,36,39,32
37,Kansas,50.36,25,32,41
38,Florida,50.15,28,40,34
39,Alaska,49.41,16,42,38
40,Indiana,49.18,21,38,40
41,Texas,46.67,48,28,37
42,Oklahoma,42.8,46,34,43
43,Mississippi,42.69,24,49,44
44,Arkansas,40.09,45,46,39
45,Alabama,39.99,32,48,45
46,North Dakota,37.9,35,36,48
47,Wyoming,36.91,38,44,47
48,Kentucky,32.23,49,47,46
49,West Virginia,28.77,42,45,50
50,Louisiana,23.96,50,50,49
